year,year_month,patch,seedling,group,grouped,id2017,id2017_conf,dist_nedge,treat_det,root_sub_det,treat_simp,root_sub_simp,surface_waterdepth,total_height,green_height,subsurf_to_tip,green_nodes1,green_nodes2,tip_nodes,health_orig,health,vigor,vigor_all,accounted_for,present,newly_dead,dead,notes,notes2
2017,2017-Mar,Transition,PRDT01_03,PRDT01_03,0,4,High,12,NS,,Other,,,29,,26,,,,Y,Yellow,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT01_03,PRDT01_03,0,4,High,12,NS,,Other,,,,,,,,,GY,Green-yellow,1,1,1,1,0,0,,
2019,2019-Mar,Transition,PRDT01_03,PRDT01_03,0,4,High,12,NS,,Other,,,28,,28,,,,G,Green,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT01_04,PRDT01_04,0,5,High,16,NS,,Other,,,31,15,30,31,,,g,Green,1,1,1,1,0,0,2 leaders; Bau,
2014,2014-Mar,Transition,PRDT01_04,PRDT01_04,0,5,High,16,NS,,Other,,,,6.5,32.5,32,,,,,,,1,1,0,0,alt grn height 7,
2016,2016-Feb,Transition,PRDT01_04,PRDT01_04,0,5,High,16,NS,,Other,,,32.5,2.5,32.5,31,,,y,Yellow,2,2,1,1,0,0,y,
2017,2017-Mar,Transition,PRDT01_04,PRDT01_04,0,5,High,16,NS,,Other,,,32,,31.5,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT01_04,PRDT01_04,0,5,High,16,NS,,Other,,,,,,,,,BY,Brown-yellow,3,3,1,1,0,0,,
2019,2019-Mar,Transition,PRDT01_04,PRDT01_04,0,5,High,16,NS,,Other,,,31,,31.5,,,,G/B,Green-brown,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT01_05,PRDT01_05,0,6,High,22,NS,,Other,,,23,6,20.5,33,,,g,Green,1,1,1,1,0,0,Leandro,
2014,2014-Mar,Transition,PRDT01_05,PRDT01_05,0,6,High,22,NS,,Other,,,,5,22,32,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT01_05,PRDT01_05,0,6,High,22,NS,,Other,,,23.5,4.5,22.5,33,,,yg,Yellow-green,2,2,1,1,0,0,yg,
2017,2017-Mar,Transition,PRDT01_05,PRDT01_05,0,6,High,22,NS,,Other,,,22,,23,,,,G,Green,1,1,1,1,0,0,1st main root above surface,
2018,2018-Mar,Transition,PRDT01_05,PRDT01_05,0,6,High,22,NS,,Other,,,,,,,,,G,Green,1,1,1,1,0,0,,
2019,2019-Mar,Transition,PRDT01_05,PRDT01_05,0,6,High,22,NS,,Other,,,23.5,,22.5,,,,g,Green,1,1,1,1,0,0,shaded; vibrant green,
2013,2013-Mar,Transition,PRDT01_06B,PRDT01_06,1,8,High,26,NS,,Other,,,26,13,23,30,,,g,Green,1,1,1,1,0,0,,
2014,2014-Mar,Transition,PRDT01_06B,PRDT01_06,1,8,High,26,NS,,Other,,,,6.5,23.5,30,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT01_06B,PRDT01_06,1,8,High,26,NS,,Other,,,25,4.5,24,28,,,yg,Yellow-green,2,2,1,1,0,0,yg,
2017,2017-Mar,Transition,PRDT01_06B,PRDT01_06,1,8,High,26,NS,,Other,,,25.5,,24,,,,Y,Yellow,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT01_06B,PRDT01_06,1,8,High,26,NS,,Other,,,,,,,,,Y,Yellow,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT01_06B,PRDT01_06,1,8,High,26,NS,,Other,,,25.5,,22.5,,,,G,Green,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT01_06A,PRDT01_06,1,7,High,26,S,,SPMA,,,25.5,12,23.5,32,,,g,Green,1,1,1,1,0,0,Juan (profesor de Ajedrez),
2014,2014-Mar,Transition,PRDT01_06A,PRDT01_06,1,7,High,26,S,,SPMA,,,,6,24.5,33,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT01_06A,PRDT01_06,1,7,High,26,S,,SPMA,,,26,3.5,25.5,25,,,yg,Yellow-green,2,2,1,1,0,0,yg,RC
2017,2017-Mar,Transition,PRDT01_06A,PRDT01_06,1,7,High,26,S,,SPMA,,,26.5,,25,,,,YG,Yellow-green,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT01_06A,PRDT01_06,1,7,High,26,S,,SPMA,,,,,,,,,Y,Yellow,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT01_06A,PRDT01_06,1,7,High,26,S,,SPMA,,,26.5,,20,,,,G,Green,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT01_07B,PRDT01_07,1,10,High,32,NS,,Other,,,32,15.5,29,31,,,g,Green,1,1,1,1,0,0,partly denuded roots,
2014,2014-Mar,Transition,PRDT01_07B,PRDT01_07,1,10,High,32,NS,,Other,,,,8.5,30.5,33,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT01_07B,PRDT01_07,1,10,High,32,NS,,Other,,,33.5,4,32.5,33,,,yg,Yellow-green,2,2,1,1,0,0,yg,
2017,2017-Mar,Transition,PRDT01_07B,PRDT01_07,1,10,High,32,NS,,Other,,,29,,33,,,,YG,Yellow-green,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT01_07B,PRDT01_07,1,10,High,32,NS,,Other,,,,,,,,,Y,Yellow,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT01_07B,PRDT01_07,1,10,High,32,NS,,Other,,,,,,,,,,,,,0,0,,0,MIA,
2013,2013-Mar,Transition,PRDT01_07A,PRDT01_07,1,9,High,32,S,,SPMA,,,25.5,11.5,22.5,25,,,g,Green,1,1,1,1,0,0,Josefa,
2014,2014-Mar,Transition,PRDT01_07A,PRDT01_07,1,9,High,32,S,,SPMA,,,,7.5,23.5,30,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT01_07A,PRDT01_07,1,9,High,32,S,,SPMA,,,26.5,4,22,26,,,yg,Yellow-green,2,2,1,1,0,0,yg,RC
2017,2017-Mar,Transition,PRDT01_07A,PRDT01_07,1,9,High,32,S,,SPMA,,,26,,23.5,,,,Y,Yellow,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT01_07A,PRDT01_07,1,9,High,32,S,,SPMA,,,,,,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT01_07A,PRDT01_07,1,9,High,32,S,,SPMA,,,26.5,,23.5,,,,Y,Yellow,2,2,1,1,0,0,,
2013,2013-Mar,Transition,PRDT02_01,PRDT02_01,0,11,High,4,NS,,Other,,,24,6,20.5,21,,,g,Green,1,1,1,1,0,0,Isaac; 1 notably larger branch,
2014,2014-Mar,Transition,PRDT02_01,PRDT02_01,0,11,High,4,NS,,Other,,,,6.5,22,22,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT02_01,PRDT02_01,0,11,High,4,NS,,Other,,,23,2.5,22,19,,,y,Yellow,2,2,1,1,0,0,yg,
2017,2017-Mar,Transition,PRDT02_01,PRDT02_01,0,11,High,4,NS,,Other,,,22.5,,21,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT02_01,PRDT02_01,0,11,High,4,NS,,Other,,,,,,,,,BY,Brown-yellow,3,3,1,1,0,0,,
2019,2019-Mar,Transition,PRDT02_01,PRDT02_01,0,11,High,4,NS,,Other,,,22.5,,23.5,,,,B/Y,Brown-yellow,3,3,1,1,0,0,,
2013,2013-Mar,Transition,PRDT02_02B,PRDT02_02,1,13,High,8,NS,,Other,,,23,12,22,24,,,g,Green,1,1,1,1,0,0,,
2014,2014-Mar,Transition,PRDT02_02B,PRDT02_02,1,13,High,8,NS,,Other,,,,8,23,26,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT02_02B,PRDT02_02,1,13,High,8,NS,,Other,,,24,3,23.5,20,,,yg,Yellow-green,2,2,1,1,0,0,g/b,RC
2017,2017-Mar,Transition,PRDT02_02B,PRDT02_02,1,13,High,8,NS,,Other,,,23,,23,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT02_02B,PRDT02_02,1,13,High,8,NS,,Other,,,,,,,,,Y,Yellow,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT02_02B,PRDT02_02,1,13,High,8,NS,,Other,,,23,,22,,,,G/B,Green-brown,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT02_02A,PRDT02_02,1,12,High,8,S,,SPMA,,,23,10,23.5,35,,,g,Green,1,1,1,1,0,0,Jairo Paredes,
2014,2014-Mar,Transition,PRDT02_02A,PRDT02_02,1,12,High,8,S,,SPMA,,,,6,25.5,36,,,,,,,1,1,0,0,SPMA already growing around stem,
2016,2016-Feb,Transition,PRDT02_02A,PRDT02_02,1,12,High,8,S,,SPMA,,,24,2,21.5,31,,,y,Yellow,2,2,1,1,0,0,yg,RC
2017,2017-Mar,Transition,PRDT02_02A,PRDT02_02,1,12,High,8,S,,SPMA,,,22.5,,21,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT02_02A,PRDT02_02,1,12,High,8,S,,SPMA,,,,,,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT02_02A,PRDT02_02,1,12,High,8,S,,SPMA,,,23.5,,18,,,,G/B,Green-brown,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT02_03,PRDT02_03,0,14,High,12,NS,,Other,,,22,4,18.5,21,,,g,Green,1,1,1,1,0,0,Belem,
2014,2014-Mar,Transition,PRDT02_03,PRDT02_03,0,14,High,12,NS,,Other,,,,3.5,20.5,20,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT02_03,PRDT02_03,0,14,High,12,NS,,Other,,,22,2.5,18.5,19,,,y,Yellow,2,2,1,1,0,0,yg,
2017,2017-Mar,Transition,PRDT02_03,PRDT02_03,0,14,High,12,NS,,Other,,,22.5,,19,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT02_03,PRDT02_03,0,14,High,12,NS,,Other,,,,,,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT02_03,PRDT02_03,0,14,High,12,NS,,Other,,,21,,18.5,,,,Y,Yellow,2,2,1,1,0,0,,
2013,2013-Mar,Transition,PRDT02_04B,PRDT02_04,1,16,High,16,NS,,Other,,,27.5,11.5,26,42,,,g,Green,1,1,1,1,0,0,,
2014,2014-Mar,Transition,PRDT02_04B,PRDT02_04,1,16,High,16,NS,,Other,,,,8.5,27,39,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT02_04B,PRDT02_04,1,16,High,16,NS,,Other,,,28.5,3,27,37,,,yg,Yellow-green,2,2,1,1,0,0,yg,RC
2017,2017-Mar,Transition,PRDT02_04B,PRDT02_04,1,16,High,16,NS,,Other,,,30,,27.5,,,,YG,Yellow-green,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT02_04B,PRDT02_04,1,16,High,16,NS,,Other,,,,,,,,,GY,Green-yellow,1,1,1,1,0,0,,
2019,2019-Mar,Transition,PRDT02_04B,PRDT02_04,1,16,High,16,NS,,Other,,,29,,27,,,,G,Green,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT02_04A,PRDT02_04,1,15,High,16,S,,SPMA,,,30,9.5,24.5,28,,,g,Green,1,1,1,1,0,0,Catalina,
2014,2014-Mar,Transition,PRDT02_04A,PRDT02_04,1,15,High,16,S,,SPMA,,,,9.5,23.5,32,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT02_04A,PRDT02_04,1,15,High,16,S,,SPMA,,,27.5,6,22,28,,,yg,Yellow-green,2,2,1,1,0,0,yg,
2017,2017-Mar,Transition,PRDT02_04A,PRDT02_04,1,15,High,16,S,,SPMA,,,26,,22.5,,,,YG,Yellow-green,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT02_04A,PRDT02_04,1,15,High,16,S,,SPMA,,,,,,,,,YG,Yellow-green,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT02_04A,PRDT02_04,1,15,High,16,S,,SPMA,,,13.5,,7,,,,G,Green,1,1,1,1,0,0,top clipped,
2013,2013-Mar,Transition,PRDT02_05,PRDT02_05,0,17,High,20,NS,,Other,,,30.5,14,23.5,30,,,g,Green,1,1,1,1,0,0,,
2014,2014-Mar,Transition,PRDT02_05,PRDT02_05,0,17,High,20,NS,,Other,,,,11.5,24.5,33,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT02_05,PRDT02_05,0,17,High,20,NS,,Other,,,26,3.5,24.5,29,,,yg,Yellow-green,2,2,1,1,0,0,yg,RC
2017,2017-Mar,Transition,PRDT02_05,PRDT02_05,0,17,High,20,NS,,Other,,,25.5,,25,,,,YG,Yellow-green,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT02_05,PRDT02_05,0,17,High,20,NS,,Other,,,,,,,,,GY,Green-yellow,1,1,1,1,0,0,,
2019,2019-Mar,Transition,PRDT02_05,PRDT02_05,0,17,High,20,NS,,Other,,,26,,25,,,,G,Green,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT02_07,PRDT02_07,0,18,High,32,NS,,Other,,,26.5,12,22.5,41,,,g,Green,1,1,1,1,0,0,Alex,
2014,2014-Mar,Transition,PRDT02_07,PRDT02_07,0,18,High,32,NS,,Other,,,,5.5,25.5,41,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT02_07,PRDT02_07,0,18,High,32,NS,,Other,,,26.5,3.5,25.5,27,,,yg,Yellow-green,2,2,1,1,0,0,"yg; flag says prdt-07, but off of line 1",only tip brown; RC
2017,2017-Mar,Transition,PRDT02_07,PRDT02_07,0,18,High,32,NS,,Other,,,27,,25.5,,,,YG,Yellow-green,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT02_07,PRDT02_07,0,18,High,32,NS,,Other,,,,,,,,,YG,Yellow-green,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT02_07,PRDT02_07,0,18,High,32,NS,,Other,,,27.5,,27.5,,,,G,Green,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT03_01B,PRDT03_01,1,20,High,4.5,NS,,Other,,,19.5,4.5,17,19,,,g,Green,1,1,1,1,0,0,,
2014,2014-Mar,Transition,PRDT03_01B,PRDT03_01,1,20,High,4.5,NS,,Other,,,,3.5,17.5,17,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT03_01B,PRDT03_01,1,20,High,4.5,NS,,Other,,,20,2.5,17.5,12,,,y/b,Yellow-brown,2,2,1,1,0,0,y/b,RC
2017,2017-Mar,Transition,PRDT03_01B,PRDT03_01,1,20,High,4.5,NS,,Other,,,21,,18,,,,B,Brown,4,4,1,1,0,0,,
2018,2018-Mar,Transition,PRDT03_01B,PRDT03_01,1,20,High,4.5,NS,,Other,,,,,,,,,B,Brown,4,4,1,1,0,0,,
2019,2019-Mar,Transition,PRDT03_01B,PRDT03_01,1,20,High,4.5,NS,,Other,,,21.5,,18.5,,,,B,Brown,4,4,1,1,0,0,,
2013,2013-Mar,Transition,PRDT03_01A,PRDT03_01,1,19,High,4.5,S,,SPMA,,,28,16.5,25.5,30,,,g,Green,1,1,1,1,0,0,,
2014,2014-Mar,Transition,PRDT03_01A,PRDT03_01,1,19,High,4.5,S,,SPMA,,,,13,27,31,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT03_01A,PRDT03_01,1,19,High,4.5,S,,SPMA,,,30,8.5,27.5,25,,,y,Yellow,2,2,1,1,0,0,y,RC
2017,2017-Mar,Transition,PRDT03_01A,PRDT03_01,1,19,High,4.5,S,,SPMA,,,30,,27,,,,YG,Yellow-green,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT03_01A,PRDT03_01,1,19,High,4.5,S,,SPMA,,,,,,,,,BY,Brown-yellow,3,3,1,1,0,0,,
2019,2019-Mar,Transition,PRDT03_01A,PRDT03_01,1,19,High,4.5,S,,SPMA,,,29,,25,,,,B/Y,Brown-yellow,3,3,1,1,0,0,,
2013,2013-Mar,Transition,PRDT03_03B,PRDT03_03,1,22,High,13.8,NS,,Other,,,25,10,25,24,,,g,Green,1,1,1,1,0,0,2 healthy branches in addition to leader,
2014,2014-Mar,Transition,PRDT03_03B,PRDT03_03,1,22,High,13.8,NS,,Other,,,,7.5,26,27,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT03_03B,PRDT03_03,1,22,High,13.8,NS,,Other,,,26.5,6,25,21,,,y,Yellow,2,2,1,1,0,0,yg,RC
2017,2017-Mar,Transition,PRDT03_03B,PRDT03_03,1,22,High,13.8,NS,,Other,,,26.5,,26,,,,Y,Yellow,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT03_03B,PRDT03_03,1,22,High,13.8,NS,,Other,,,,,,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT03_03B,PRDT03_03,1,22,High,13.8,NS,,Other,,,26.5,,20,,,,G,Green,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT03_03A,PRDT03_03,1,21,High,13.8,S,,SPMA,,,26.5,9,23.5,31,,,g,Green,1,1,1,1,0,0,2nd leader with 2 well-dev. Branches,
2014,2014-Mar,Transition,PRDT03_03A,PRDT03_03,1,21,High,13.8,S,,SPMA,,,,5,23.5,26,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT03_03A,PRDT03_03,1,21,High,13.8,S,,SPMA,,,26,4.5,23.5,23,,,yg,Yellow-green,2,2,1,1,0,0,yg,RC
2017,2017-Mar,Transition,PRDT03_03A,PRDT03_03,1,21,High,13.8,S,,SPMA,,,26,,22,,,,YG,Yellow-green,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT03_03A,PRDT03_03,1,21,High,13.8,S,,SPMA,,,,,,,,,Y,Yellow,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT03_03A,PRDT03_03,1,21,High,13.8,S,,SPMA,,,25,,23.5,,,,G,Green,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT03_04B,PRDT03_04,1,24,High,20.5,NS,,Other,,,27.5,12,27,32,,,g,Green,1,1,1,1,0,0,,
2014,2014-Mar,Transition,PRDT03_04B,PRDT03_04,1,24,High,20.5,NS,,Other,,,,9.5,26.5,32,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT03_04B,PRDT03_04,1,24,High,20.5,NS,,Other,,,27,6,26,26,,,yg,Yellow-green,2,2,1,1,0,0,yg; green growth mostly brown,top 3.5cm brown; RC
2017,2017-Mar,Transition,PRDT03_04B,PRDT03_04,1,24,High,20.5,NS,,Other,,,27,,23.5,,,,Y,Yellow,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT03_04B,PRDT03_04,1,24,High,20.5,NS,,Other,,,,,,,,,Y,Yellow,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT03_04B,PRDT03_04,1,24,High,20.5,NS,,Other,,,28.5,,23,,,,GY,Green-yellow,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT03_04A,PRDT03_04,1,23,High,20.5,S,,SPMA,,,29,12.5,25.5,27,,,g,Green,1,1,1,1,0,0,,
2014,2014-Mar,Transition,PRDT03_04A,PRDT03_04,1,23,High,20.5,S,,SPMA,,,,6.5,25.5,27,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT03_04A,PRDT03_04,1,23,High,20.5,S,,SPMA,,,29.5,3,25.5,19,,,yg,Yellow-green,2,2,1,1,0,0,yg,RC
2017,2017-Mar,Transition,PRDT03_04A,PRDT03_04,1,23,High,20.5,S,,SPMA,,,29,,26,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT03_04A,PRDT03_04,1,23,High,20.5,S,,SPMA,,,,,,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT03_04A,PRDT03_04,1,23,High,20.5,S,,SPMA,,,29,,26,,,,GY/B,Green-yellow,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT03_05B,PRDT03_05,1,26,High,26,NS,,Other,,,29.5,11,27,30,,,g,Green,1,1,1,1,0,0,,
2014,2014-Mar,Transition,PRDT03_05B,PRDT03_05,1,26,High,26,NS,,Other,,,,9,26.5,32,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT03_05B,PRDT03_05,1,26,High,26,NS,,Other,,,29,5,21.5,29,,,yg,Yellow-green,2,2,1,1,0,0,yg,RC
2017,2017-Mar,Transition,PRDT03_05B,PRDT03_05,1,26,High,26,NS,,Other,,,29,,21,,,,Y,Yellow,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT03_05B,PRDT03_05,1,26,High,26,NS,,Other,,,,,,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT03_05B,PRDT03_05,1,26,High,26,NS,,Other,,,28.5,,18.5,,,,Y,Yellow,2,2,1,1,0,0,,
2013,2013-Mar,Transition,PRDT03_05A,PRDT03_05,1,25,High,26,S,,SPMA,,,29,14.5,26.5,33,,,g,Green,1,1,1,1,0,0,,
2014,2014-Mar,Transition,PRDT03_05A,PRDT03_05,1,25,High,26,S,,SPMA,,,,8,26,36,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT03_05A,PRDT03_05,1,25,High,26,S,,SPMA,,,29.5,4.5,21.5,32,,,yg,Yellow-green,2,2,1,1,0,0,yg,RC
2017,2017-Mar,Transition,PRDT03_05A,PRDT03_05,1,25,High,26,S,,SPMA,,,30,,23,,,,Y,Yellow,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT03_05A,PRDT03_05,1,25,High,26,S,,SPMA,,,,,,,,,Y,Yellow,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT03_05A,PRDT03_05,1,25,High,26,S,,SPMA,,,27.5,,19,,,,Y,Yellow,2,2,1,1,0,0,,
2013,2013-Mar,Transition,PRDT04_01B,PRDT04_01,1,28,High,3.6,NS,,Other,,,26.5,10,25,31,,,g,Green,1,1,1,1,0,0,,
2014,2014-Mar,Transition,PRDT04_01B,PRDT04_01,1,28,High,3.6,NS,,Other,,,,4,26,22,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT04_01B,PRDT04_01,1,28,High,3.6,NS,,Other,,,26.5,2,25.5,15,,,yg/b,Yellow-green/brown,2,2,1,1,0,0,yg/b,RC
2017,2017-Mar,Transition,PRDT04_01B,PRDT04_01,1,28,High,3.6,NS,,Other,,,28,,27,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT04_01B,PRDT04_01,1,28,High,3.6,NS,,Other,,,,,,,,,BY,Brown-yellow,3,3,1,1,0,0,,
2019,2019-Mar,Transition,PRDT04_01B,PRDT04_01,1,28,High,3.6,NS,,Other,,,26,,24.5,,,,G/B,Green-brown,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT04_01A,PRDT04_01,1,27,High,3.1,S,,SPMA,,,29,14,24.5,34,,,g,Green,1,1,1,1,0,0,3 lwr wdb,
2014,2014-Mar,Transition,PRDT04_01A,PRDT04_01,1,27,High,3.1,S,,SPMA,,,,6,26,33,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT04_01A,PRDT04_01,1,27,High,3.1,S,,SPMA,,,29,3,25,21,,,yg,Yellow-green,2,2,1,1,0,0,yg,RC
2017,2017-Mar,Transition,PRDT04_01A,PRDT04_01,1,27,High,3.1,S,,SPMA,,,27.5,,26,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT04_01A,PRDT04_01,1,27,High,3.1,S,,SPMA,,,,,,,,,Y,Yellow,2,2,1,1,0,0,,
